Timestamp,What is your age limit?,What genres game do you like?,How long do you play games in average?,Please select your internet speed.,Can you please select the GPU that you are currently using?,"Can you please select an estimate of your monthly gaming cost(Including purchasing Game and Game Items , In app Purchase, And Net Bill)?",What is your preferred CPU model?,What do you seek in a game?,What is your RAM size?,Preference
10/8/2020 20:26:43,16-28,Action-adventure games.,2-3hours,5mbps,"RTX 2000 series (Could be 2080,2070,2060 including Ti and Super varients)",500-2k (BDT),Intel,Story,8GB,High
10/8/2020 20:38:44,16-28,Action games.,1-1.5 hours,10mbps,RX300 series,"I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",Intel,Way to pass time,8GB,Low
10/8/2020 21:10:06,16-28,Action-adventure games.,1-1.5 hours,5mbps,Lower,"I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",Intel,Story,8GB,Low
10/8/2020 21:19:09,16-28,Action-adventure games.,2-3hours,25mbps,Lower,"I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",Intel,Story,4GB,Low
10/8/2020 21:46:26,16-28,Action-adventure games.,2-3hours,15mbps,"GTX 1000 series (Could be 1080,1070,1060, 1050,1030 including Ti and Super varient)",500-2k (BDT),AMD (Ryzen),Story,8GB,Medium
10/8/2020 22:04:41,16-28,Simulation games.,1-1.5 hours,20mbps,"GTX 1600 series (Could be 1660,1650 including Ti and Super varients)",500-2k (BDT),Intel,Gather Idea (Could be for Own Game Development Project as a game developer or other ),16GB,High
10/8/2020 22:08:06,16-28,Action games.,30-50min,5mbps,"GTX 1600 series (Could be 1660,1650 including Ti and Super varients)","I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",Intel,Way to pass time,32GB,High
10/8/2020 22:09:43,16-28,Simulation games.,2-3hours,10mbps,"GTX 1000 series (Could be 1080,1070,1060, 1050,1030 including Ti and Super varient)","I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",AMD (Ryzen),Way to pass time,8GB,Medium
10/8/2020 22:09:45,16-28,Action games.,4-5hours,5mbps,"GTX 1000 series (Could be 1080,1070,1060, 1050,1030 including Ti and Super varient)",500-2k (BDT),AMD (Ryzen),"Thrill (Online games mostly FPS,TPS)",8GB,Medium
10/8/2020 22:12:44,16-28,Strategy games.,1-1.5 hours,20mbps,Lower,"I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",Intel,Story,8GB,Low
10/8/2020 22:25:01,16-28,Action games.,2-3hours,5mbps,Lower,500-2k (BDT),Intel,"Thrill (Online games mostly FPS,TPS)",8GB,Low
10/8/2020 22:30:44,16-28,Action-adventure games.,2-3hours,10mbps,"GTX 1000 series (Could be 1080,1070,1060, 1050,1030 including Ti and Super varient)","I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",AMD (Ryzen),Story,32GB,High
10/8/2020 22:33:52,16-28,Action-adventure games.,1-1.5 hours,50mbps,"GTX 1600 series (Could be 1660,1650 including Ti and Super varients)",500-2k (BDT),Intel,"Thrill (Online games mostly FPS,TPS)",16GB,High
10/8/2020 22:40:39,16-28,Action games.,2-3hours,5mbps,Lower,500-2k (BDT),Intel,"Thrill (Online games mostly FPS,TPS)",8GB,Low
10/8/2020 22:45:06,16-28,Role-playing games.,2-3hours,40mbps,"GTX 1000 series (Could be 1080,1070,1060, 1050,1030 including Ti and Super varient)","I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",Intel,Graphics (With or without Ray tracing on),8GB,Medium
10/8/2020 22:49:28,16-28,Action-adventure games.,1-1.5 hours,15mbps,Lower,"I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",ARM Architecture (In future for low power consumption),Story,8GB,Low
10/8/2020 23:07:32,16-28,Action-adventure games.,1-1.5 hours,40mbps,Lower,"I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",AMD (Ryzen),Way to pass time,4GB,Low
10/8/2020 23:08:10,16-28,Action-adventure games.,1-1.5 hours,5mbps,Lower,"I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",AMD (Ryzen),Story,8GB,Low
10/8/2020 23:08:33,16-28,Action-adventure games.,6-8hours,5mbps,Lower,"I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",AMD (Ryzen),Story,4GB,Low
10/8/2020 23:11:02,16-28,Action games.,1-1.5 hours,15mbps,"RX500 series (Could be 590,580,570,560,550)",500-2k (BDT),AMD (Ryzen),"Thrill (Online games mostly FPS,TPS)",16GB,Medium
10/8/2020 23:12:45,16-28,Action games.,1-1.5 hours,15mbps,"GTX 1600 series (Could be 1660,1650 including Ti and Super varients)","I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",AMD (Ryzen),Story,16GB,High
10/8/2020 23:14:48,16-28,Strategy games.,4-5hours,5mbps,"GTX 1000 series (Could be 1080,1070,1060, 1050,1030 including Ti and Super varient)","I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",Intel,Story,8GB,Medium
10/8/2020 23:16:47,16-28,Action-adventure games.,2-3hours,15mbps,"GTX 1000 series (Could be 1080,1070,1060, 1050,1030 including Ti and Super varient)","I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",Intel,Story,8GB,Medium
10/8/2020 23:27:58,29-40,Action games.,4-5hours,35mbps,"GTX 1600 series (Could be 1660,1650 including Ti and Super varients)",3-6k (BDT),AMD (Ryzen),Story,32GB,Very High
10/8/2020 23:28:41,8-15,Strategy games.,1-1.5 hours,15mbps,"GTX 900 series (Could be 980,970,960, 950 including Ti )",500-2k (BDT),Intel,Way to pass time,8GB,Medium
10/8/2020 23:29:21,16-28,Role-playing games.,6-8hours,15mbps,"RX500 series (Could be 590,580,570,560,550)",7-9k (BDT),AMD (Ryzen),"Thrill (Online games mostly FPS,TPS)",12GB,Medium
10/8/2020 23:30:55,41-58,Strategy games.,1-1.5 hours,40mbps,"GTX 1000 series (Could be 1080,1070,1060, 1050,1030 including Ti and Super varient)",3-6k (BDT),Intel,Way to pass time,16GB,High
10/8/2020 23:38:52,8-15,Adventure games.,6-8hours,35mbps,RTX Titan(v),10-14k (BDT),AMD (Ryzen),"Thrill (Online games mostly FPS,TPS)",32GB,Very High
10/8/2020 23:39:20,59-60,Role-playing games.,1-1.5 hours,20mbps,Lower,500-2k (BDT),Intel,Story,8GB,Low
10/8/2020 23:46:13,16-28,Action games.,30-50min,20mbps,"GTX 1600 series (Could be 1660,1650 including Ti and Super varients)",10-14k (BDT),AMD (Ryzen),Graphics (With or without Ray tracing on),8GB,High
10/8/2020 23:46:39,29-40,Simulation games.,1-1.5 hours,35mbps,"GTX 1000 series (Could be 1080,1070,1060, 1050,1030 including Ti and Super varient)",7-9k (BDT),ARM Architecture (In future for low power consumption),"Thrill (Online games mostly FPS,TPS)",12GB,High
10/8/2020 23:47:04,41-58,Simulation games.,6-8hours,15mbps,"GTX 1600 series (Could be 1660,1650 including Ti and Super varients)",10-14k (BDT),ARM Architecture (In future for low power consumption),Gather Idea (Could be for Own Game Development Project as a game developer or other ),64GB,Very High
10/8/2020 23:47:08,16-28,Simulation games.,2-3hours,35mbps,GTX Titan(z),7-9k (BDT),Intel,Gather Idea (Could be for Own Game Development Project as a game developer or other ),64GB,Very High
10/8/2020 23:47:09,16-28,,6-8hours,5mbps,"GTX 1600 series (Could be 1660,1650 including Ti and Super varients)",3-6k (BDT),Intel,"Thrill (Online games mostly FPS,TPS)",16GB, High
10/8/2020 23:47:25,29-40,Role-playing games.,6-8hours,15mbps,RTX Titan(v),3-6k (BDT),AMD (Ryzen),Way to pass time,32GB,Very High
10/8/2020 23:47:40,29-40,Simulation games.,4-5hours,25mbps,"GTX 1000 series (Could be 1080,1070,1060, 1050,1030 including Ti and Super varient)",15-26k (BDT),Intel,"Thrill (Online games mostly FPS,TPS)",32GB,High
10/8/2020 23:47:59,29-40,Simulation games.,2-3hours,25mbps,"GTX 1000 series (Could be 1080,1070,1060, 1050,1030 including Ti and Super varient)",3-6k (BDT),AMD (Ryzen),Gather Idea (Could be for Own Game Development Project as a game developer or other ),16GB,High
10/8/2020 23:48:22,29-40,Adventure games.,2-3hours,10mbps,"GTX 1600 series (Could be 1660,1650 including Ti and Super varients)",3-6k (BDT),AMD (Ryzen),Story,16GB,High
10/8/2020 23:49:08,29-40,Role-playing games.,4-5hours,35mbps,"GTX 1000 series (Could be 1080,1070,1060, 1050,1030 including Ti and Super varient)","I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",Intel,Story,16GB,High
10/8/2020 23:49:23,29-40,Adventure games.,4-5hours,25mbps,"GTX 1600 series (Could be 1660,1650 including Ti and Super varients)",7-9k (BDT),Intel,Story,4GB,Medium
10/8/2020 23:49:46,29-40,Strategy games.,6-8hours,15mbps,RTX Titan(v),3-6k (BDT),AMD (Ryzen),Graphics (With or without Ray tracing on),12GB,Very High
10/8/2020 23:57:09,16-28,Strategy games.,2-3hours,5mbps,"GTX 1000 series (Could be 1080,1070,1060, 1050,1030 including Ti and Super varient)","I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",Intel,"Thrill (Online games mostly FPS,TPS)",8GB,Medium
10/9/2020 0:25:56,16-28,Strategy games.,1-1.5 hours,20mbps,"GTX 900 series (Could be 980,970,960, 950 including Ti )","I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",Intel,"Thrill (Online games mostly FPS,TPS)",16GB,Medium
10/9/2020 0:54:49,16-28,Action-adventure games.,2-3hours,5mbps,"GTX 1000 series (Could be 1080,1070,1060, 1050,1030 including Ti and Super varient)",500-2k (BDT),AMD (Ryzen),Way to pass time,16GB,High
10/9/2020 1:02:45,16-28,Strategy games.,2-3hours,10mbps,"GTX 1600 series (Could be 1660,1650 including Ti and Super varients)","I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",AMD (Ryzen),Story,8GB,Medium
10/9/2020 1:04:36,16-28,Sports games.,1-1.5 hours,5mbps,Lower,"I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",AMD (Ryzen),Way to pass time,4GB,Low
10/9/2020 1:51:42,16-28,Action-adventure games.,4-5hours,40mbps,"GTX 1000 series (Could be 1080,1070,1060, 1050,1030 including Ti and Super varient)","I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",AMD (Ryzen),Story,8GB,Medium
10/9/2020 2:14:31,16-28,Action games.,4-5hours,10mbps,Lower,500-2k (BDT),Intel,"Thrill (Online games mostly FPS,TPS)",8GB,Low
10/9/2020 2:33:30,16-28,Role-playing games.,4-5hours,25mbps,"RX5000 series (Could be 5700xt,5600xt,5500xt)",3-6k (BDT),AMD (Ryzen),Story,16GB,High
10/9/2020 2:44:59,16-28,Action-adventure games.,6-8hours,15mbps,"RX400 series (Could be 480,470,460,450)",3-6k (BDT),AMD (Ryzen),"Thrill (Online games mostly FPS,TPS)",16GB,Medium
10/9/2020 3:22:34,16-28,Action-adventure games.,2-3hours,30mbps,Lower,500-2k (BDT),Intel,Story,8GB,Low
10/9/2020 3:48:17,29-40,Strategy games.,4-5hours,5mbps,Lower,500-2k (BDT),AMD (Ryzen),Gather Idea (Could be for Own Game Development Project as a game developer or other ),8GB,Low
10/9/2020 3:49:23,16-28,Action-adventure games.,2-3hours,5mbps,AMD Vega series GPU,"I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",AMD (Ryzen),"Thrill (Online games mostly FPS,TPS)",4GB,Low
10/9/2020 3:56:46,16-28,Action games.,2-3hours,20mbps,"GTX 900 series (Could be 980,970,960, 950 including Ti )",500-2k (BDT),Intel,"Thrill (Online games mostly FPS,TPS)",16GB,Medium
10/9/2020 4:15:46,16-28,Strategy games.,4-5hours,5mbps,Lower,500-2k (BDT),Intel,"Thrill (Online games mostly FPS,TPS)",8GB,Low
10/9/2020 4:34:45,16-28,Strategy games.,4-5hours,40mbps,"RTX 2000 series (Could be 2080,2070,2060 including Ti and Super varients)",500-2k (BDT),AMD (Ryzen),"Thrill (Online games mostly FPS,TPS)",16GB,Very High
10/9/2020 4:40:46,16-28,Role-playing games.,2-3hours,15mbps,"RX400 series (Could be 480,470,460,450)","I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",ARM Architecture (In future for low power consumption),Story,12GB,Medium
10/9/2020 4:45:23,16-28,Role-playing games.,1-1.5 hours,15mbps,"GTX 1000 series (Could be 1080,1070,1060, 1050,1030 including Ti and Super varient)",500-2k (BDT),AMD (Ryzen),Way to pass time,16GB,High
10/9/2020 5:15:12,16-28,Action-adventure games.,2-3hours,25mbps,"GTX 1600 series (Could be 1660,1650 including Ti and Super varients)",3-6k (BDT),AMD (Ryzen),Story,16GB,High
10/9/2020 5:18:41,16-28,Strategy games.,6-8hours,5mbps,"GTX 1000 series (Could be 1080,1070,1060, 1050,1030 including Ti and Super varient)",500-2k (BDT),Intel,"Thrill (Online games mostly FPS,TPS)",8GB,Medium
10/9/2020 6:02:03,16-28,Strategy games.,2-3hours,5mbps,"GTX 1000 series (Could be 1080,1070,1060, 1050,1030 including Ti and Super varient)","I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",Intel,Story,16GB,High
10/9/2020 7:06:41,16-28,Action-adventure games.,4-5hours,100mbps,"GTX 1600 series (Could be 1660,1650 including Ti and Super varients)","I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",AMD (Ryzen),"Thrill (Online games mostly FPS,TPS)",16GB, High
10/9/2020 9:08:45,16-28,Action-adventure games.,6-8hours,20mbps,AMD Vega series GPU,,AMD (Ryzen),Story,8GB,Medium
10/9/2020 9:22:05,16-28,Action-adventure games.,2-3hours,5mbps,RX200 series,"I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",AMD (Ryzen),"Thrill (Online games mostly FPS,TPS)",8GB,Low
10/9/2020 10:21:47,16-28,Action-adventure games.,2-3hours,15mbps,"GTX 1000 series (Could be 1080,1070,1060, 1050,1030 including Ti and Super varient)","I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",AMD (Ryzen),Story,16GB,High
10/9/2020 10:25:47,16-28,Strategy games.,2-3hours,10mbps,"RX400 series (Could be 480,470,460,450)",500-2k (BDT),Intel,"Thrill (Online games mostly FPS,TPS)",8GB,Medium
10/9/2020 10:31:41,8-15,Action games.,6-8hours,20mbps,Lower,500-2k (BDT),Intel,"Thrill (Online games mostly FPS,TPS)",8GB,Low
10/9/2020 10:32:11,16-28,Role-playing games.,30-50min,10mbps,"RX5000 series (Could be 5700xt,5600xt,5500xt)",500-2k (BDT),Intel,Story,16GB,Very High
10/9/2020 10:32:34,8-15,Action games.,30-50min,5mbps,"RX500 series (Could be 590,580,570,560,550)",500-2k (BDT),AMD (Ryzen),Story,16GB,Medium
10/9/2020 11:03:37,16-28,Action-adventure games.,30-50min,10mbps,"GTX 1000 series (Could be 1080,1070,1060, 1050,1030 including Ti and Super varient)",500-2k (BDT),Intel,"Thrill (Online games mostly FPS,TPS)",8GB,Medium
10/9/2020 11:04:22,8-15,Adventure games.,30-50min,5mbps,"GTX 1000 series (Could be 1080,1070,1060, 1050,1030 including Ti and Super varient)",500-2k (BDT),Intel,"Thrill (Online games mostly FPS,TPS)",16GB,High
10/9/2020 11:06:16,16-28,Role-playing games.,6-8hours,50mbps,"RTX 2000 series (Could be 2080,2070,2060 including Ti and Super varients)",500-2k (BDT),AMD (Ryzen),Story,32GB,very High
10/9/2020 11:07:16,16-28,Action-adventure games.,1-1.5 hours,5mbps,Lower,500-2k (BDT),,Story,8GB,Low
10/9/2020 11:09:09,16-28,Action games.,2-3hours,10mbps,"GTX 1000 series (Could be 1080,1070,1060, 1050,1030 including Ti and Super varient)",500-2k (BDT),Intel,"Thrill (Online games mostly FPS,TPS)",16GB,High
10/9/2020 11:09:26,16-28,Action games.,30-50min,10mbps,"RX5000 series (Could be 5700xt,5600xt,5500xt)",500-2k (BDT),AMD (Ryzen),,16GB,Very High
10/9/2020 11:24:03,16-28,Action-adventure games.,30-50min,10mbps,"GTX 900 series (Could be 980,970,960, 950 including Ti )",500-2k (BDT),Intel,Story,16GB,Medium
10/9/2020 11:24:43,8-15,Action games.,30-50min,5mbps,"GTX 900 series (Could be 980,970,960, 950 including Ti )",500-2k (BDT),Intel,"Thrill (Online games mostly FPS,TPS)",8GB,Medium
10/9/2020 11:25:16,16-28,Action games.,1-1.5 hours,10mbps,"GTX 1000 series (Could be 1080,1070,1060, 1050,1030 including Ti and Super varient)",500-2k (BDT),Intel,"Thrill (Online games mostly FPS,TPS)",8GB,Medium
10/9/2020 11:25:59,8-15,Action-adventure games.,30-50min,5mbps,"GTX 1600 series (Could be 1660,1650 including Ti and Super varients)",500-2k (BDT),Intel,"Thrill (Online games mostly FPS,TPS)",8GB,Medium
10/9/2020 11:27:17,16-28,Action-adventure games.,1-1.5 hours,10mbps,RX300 series,500-2k (BDT),Intel,Graphics (With or without Ray tracing on),16GB,Medium
10/9/2020 11:27:36,16-28,Action games.,1-1.5 hours,10mbps,Lower,500-2k (BDT),AMD (Ryzen),"Thrill (Online games mostly FPS,TPS)",8GB,Low
10/9/2020 11:28:16,16-28,Action games.,2-3hours,20mbps,"GTX 1000 series (Could be 1080,1070,1060, 1050,1030 including Ti and Super varient)",500-2k (BDT),Intel,"Thrill (Online games mostly FPS,TPS)",8GB,Medium
10/9/2020 11:29:24,16-28,Action-adventure games.,4-5hours,5mbps,RX300 series,500-2k (BDT),AMD (Ryzen),Story,16GB,Medium
10/9/2020 11:37:32,16-28,Action-adventure games.,2-3hours,15mbps,Lower,500-2k (BDT),AMD (Ryzen),Story,8GB,Low
10/9/2020 11:57:20,16-28,Role-playing games.,2-3hours,5mbps,"GTX 1600 series (Could be 1660,1650 including Ti and Super varients)",500-2k (BDT),Intel,Graphics (With or without Ray tracing on),8GB,Medium
10/9/2020 12:19:16,16-28,Action-adventure games.,6-8hours,40mbps,"GTX 1000 series (Could be 1080,1070,1060, 1050,1030 including Ti and Super varient)","I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",Intel,Graphics (With or without Ray tracing on),16GB,High
10/9/2020 12:19:43,16-28,Role-playing games.,2-3hours,5mbps,Lower,500-2k (BDT),AMD (Ryzen),"Thrill (Online games mostly FPS,TPS)",4GB,Low
10/9/2020 13:14:06,16-28,Role-playing games.,2-3hours,20mbps,"RX500 series (Could be 590,580,570,560,550)",500-2k (BDT),Intel,"Thrill (Online games mostly FPS,TPS)",16GB,Medium
10/9/2020 14:11:55,16-28,Action-adventure games.,2-3hours,10mbps,"GTX 900 series (Could be 980,970,960, 950 including Ti )","I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",AMD (Ryzen),"Thrill (Online games mostly FPS,TPS)",8GB,Medium
10/9/2020 14:38:55,16-28,Strategy games.,2-3hours,15mbps,"GTX 1000 series (Could be 1080,1070,1060, 1050,1030 including Ti and Super varient)",500-2k (BDT),Intel,Story,32GB,High
10/9/2020 15:49:34,16-28,Sports games.,4-5hours,5mbps,"RX500 series (Could be 590,580,570,560,550)",500-2k (BDT),AMD (Ryzen),Story,8GB,Medium
10/9/2020 20:56:58,16-28,Strategy games.,2-3hours,10mbps,Lower,"I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",Intel,"Thrill (Online games mostly FPS,TPS)",8GB,Low
10/9/2020 22:28:30,16-28,Role-playing games.,1-1.5 hours,5mbps,Lower,"I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",AMD (Ryzen),Story,4GB,Low
10/9/2020 22:38:52,16-28,Action-adventure games.,1-1.5 hours,5mbps,"GTX 1600 series (Could be 1660,1650 including Ti and Super varients)","I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",Intel,Story,16GB,High
10/9/2020 23:44:31,16-28,Sports games.,30-50min,50mbps,Lower,500-2k (BDT),Intel,Way to pass time,12GB,Low
10/10/2020 0:26:13,16-28,Action games.,30-50min,,Lower,500-2k (BDT),Intel,Way to pass time,4GB,Low
10/10/2020 0:51:00,16-28,Action-adventure games.,1-1.5 hours,10mbps,"GTX 1000 series (Could be 1080,1070,1060, 1050,1030 including Ti and Super varient)","I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",Intel,Way to pass time,16GB,High
10/10/2020 1:22:43,16-28,Action-adventure games.,2-3hours,10mbps,"RX500 series (Could be 590,580,570,560,550)","I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",AMD (Ryzen),Way to pass time,16GB,Medium
10/10/2020 1:48:50,16-28,Action-adventure games.,9+ Hours,10mbps,Lower,"I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",AMD (Ryzen),Story,8GB,Low
10/10/2020 9:14:55,16-28,Action games.,9+ Hours,5mbps,"GTX 1000 series (Could be 1080,1070,1060, 1050,1030 including Ti and Super varient)",500-2k (BDT),AMD (Ryzen),"Thrill (Online games mostly FPS,TPS)",8GB,Medium
10/10/2020 9:34:14,16-28,Strategy games.,2-3hours,10mbps,"GTX 1000 series (Could be 1080,1070,1060, 1050,1030 including Ti and Super varient)",500-2k (BDT),AMD (Ryzen),"Thrill (Online games mostly FPS,TPS)",8GB,Medium
10/10/2020 10:00:33,16-28,Sports games.,1-1.5 hours,20mbps,"RX500 series (Could be 590,580,570,560,550)",500-2k (BDT),AMD (Ryzen),Graphics (With or without Ray tracing on),16GB,Medium
10/10/2020 10:16:41,16-28,Strategy games.,2-3hours,10mbps,Lower,"I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",Intel,Graphics (With or without Ray tracing on),8GB,Low
10/10/2020 12:14:59,16-28,Role-playing games.,1-1.5 hours,5mbps,"RX5000 series (Could be 5700xt,5600xt,5500xt)","I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",Intel,Story,16GB,High
10/10/2020 20:48:52,16-28,Action games.,1-1.5 hours,15mbps,"GTX 900 series (Could be 980,970,960, 950 including Ti )","I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",Intel,Gather Idea (Could be for Own Game Development Project as a game developer or other ),8GB,Medium
10/10/2020 21:39:56,29-40,Action games.,30-50min,15mbps,Lower,500-2k (BDT),Intel,Way to pass time,4GB,Low
10/11/2020 3:41:15,16-28,Role-playing games.,4-5hours,15mbps,"RX400 series (Could be 480,470,460,450)",500-2k (BDT),AMD (Ryzen),Story,16GB,Medium
10/11/2020 7:51:37,16-28,Puzzle games.,30-50min,5mbps,Lower,,Intel,Way to pass time,8GB,Low
10/12/2020 0:27:31,16-28,Action-adventure games.,6-8hours,20mbps,"GTX 1000 series (Could be 1080,1070,1060, 1050,1030 including Ti and Super varient)",500-2k (BDT),AMD (Ryzen),Way to pass time,8GB,Medium
10/15/2020 11:43:50,16-28,Action-adventure games.,2-3hours,5mbps,"GTX 900 series (Could be 980,970,960, 950 including Ti )",500-2k (BDT),AMD (Ryzen),Gather Idea (Could be for Own Game Development Project as a game developer or other ),8GB,Medium
10/8/2020 10:07:22,29-40,Action games.,2-3hours,30mbps,"GTX 1000 series (Could be 1080,1070,1060, 1050,1030 including Ti and Super varient)",500-2k (BDT),Intel,Story,16GB,High
10/8/2020 10:15:08,16-28,Action-adventure games.,2-3hours,15mbps,Lower,,Intel,Graphics (With or without Ray tracing on),256GB (Work Station),Low
10/8/2020 10:28:20,16-28,Action-adventure games.,9+ Hours,Gigabit,"GTX 1000 series (Could be 1080,1070,1060, 1050,1030 including Ti and Super varient)","I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",Intel,"Thrill (Online games mostly FPS,TPS)",16GB,High
10/8/2020 10:30:52,16-28,Strategy games.,2-3hours,10mbps,"GTX 900 series (Could be 980,970,960, 950 including Ti )","I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",AMD (Ryzen),Way to pass time,12GB,Medium
10/8/2020 10:58:57,16-28,Action-adventure games.,4-5hours,25mbps,"GTX 1000 series (Could be 1080,1070,1060, 1050,1030 including Ti and Super varient)",500-2k (BDT),AMD (Ryzen),Story,8GB,Medium
10/8/2020 11:10:37,16-28,Action-adventure games.,2-3hours,5mbps,"RTX 2000 series (Could be 2080,2070,2060 including Ti and Super varients)",500-2k (BDT),AMD (Ryzen),"Thrill (Online games mostly FPS,TPS)",8GB,High
10/8/2020 11:41:24,16-28,Action-adventure games.,4-5hours,5mbps,AMD Vega series GPU,"I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",AMD (Ryzen),Story,8GB,Medium
10/8/2020 11:41:36,16-28,Action-adventure games.,1-1.5 hours,20mbps,Lower,"I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",Intel,Story,4GB,Low
10/8/2020 11:51:01,16-28,Action games.,1-1.5 hours,20mbps,Lower,"I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",AMD (Ryzen),"Thrill (Online games mostly FPS,TPS)",8GB,Low
10/8/2020 11:52:36,16-28,Action games.,2-3hours,10mbps,"GTX 1000 series (Could be 1080,1070,1060, 1050,1030 including Ti and Super varient)",500-2k (BDT),Intel,"Thrill (Online games mostly FPS,TPS)",16GB,High
10/8/2020 11:57:50,16-28,Role-playing games.,2-3hours,15mbps,"GTX 1000 series (Could be 1080,1070,1060, 1050,1030 including Ti and Super varient)",500-2k (BDT),AMD (Ryzen),Story,8GB,Medium
10/8/2020 12:01:30,16-28,Action-adventure games.,4-5hours,5mbps,"GTX 1600 series (Could be 1660,1650 including Ti and Super varients)","I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",AMD (Ryzen),Story,16GB,High
10/8/2020 12:04:05,16-28,Simulation games.,1-1.5 hours,Gigabit,"GTX 1000 series (Could be 1080,1070,1060, 1050,1030 including Ti and Super varient)",500-2k (BDT),Intel,Way to pass time,16GB,High
10/8/2020 12:08:18,16-28,Strategy games.,9+ Hours,Gigabit,"RTX 2000 series (Could be 2080,2070,2060 including Ti and Super varients)",500-2k (BDT),AMD (Ryzen),Graphics (With or without Ray tracing on),16GB,Very High
10/8/2020 12:10:37,16-28,Strategy games.,30-50min,10mbps,"GTX 1000 series (Could be 1080,1070,1060, 1050,1030 including Ti and Super varient)","I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",AMD (Ryzen),Gather Idea (Could be for Own Game Development Project as a game developer or other ),16GB,High
